whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-base.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 512
whisper_model_load: n_audio_head  = 8
whisper_model_load: n_audio_layer = 6
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 512
whisper_model_load: n_text_head   = 8
whisper_model_load: n_text_layer  = 6
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 2
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  =  506.00 MB
whisper_model_load: ggml ctx size =  140.60 MB
whisper_model_load: memory size   =   22.83 MB
whisper_model_load: model size    =  140.54 MB

system_info: n_threads = 5 / 8 | AVX = 0 | AVX2 = 0 | AVX512 = 0 | NEON = 1 | F16C = 0 | FP16_VA = 1 | WASM_SIMD = 0 | BLAS = 1 | 

main: processing 'audio.wav-5-base' (9605956 samples, 600.4 sec), 5 threads, 1 processors, lang = german, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:03.000]   * Musik *
[00:00:03.000 --> 00:00:08.400]   Herzlich willkommen bei "Was Jetzt", dem Nachrichten Podcast von Zeit online.
[00:00:08.400 --> 00:00:11.440]   Sie hören das Update am Montag den 25. Juli.
[00:00:11.440 --> 00:00:13.680]   Ich rede gleich darüber, warum die Affenpocken
[00:00:13.680 --> 00:00:16.960]   zwar inzwischen als internationale Notlage betrachtet werden,
[00:00:16.960 --> 00:00:20.240]   ist aber sehr wahrscheinlich keine zweite Pandemie geben wird.
[00:00:20.240 --> 00:00:22.600]   Und dann schaue ich in die ukrainische Stadt Odessa,
[00:00:22.600 --> 00:00:26.880]   wo Russland nur einen Tag nach dem Getreide abkommen, den Hafen bombardiert hat.
[00:00:26.880 --> 00:00:31.080]   Mein Name ist Moses Fändl und der Redaktionsschluss für diesen Podcast ist 16 Uhr.
[00:00:31.080 --> 00:00:37.320]   In mehr als 75 Ländern haben sich mittlerweile Menschen
[00:00:37.320 --> 00:00:39.200]   mit den Affenpocken angesteckt.
[00:00:39.200 --> 00:00:41.560]   Am Wochenende hat die Weltgesundheitsorganisation das Thema
[00:00:41.560 --> 00:00:44.920]   zu einer Notlage von internationalem Ausmaß hochgestuft.
[00:00:44.920 --> 00:00:47.680]   Das ist die höchste Wahnstufe für gesundheitliche Bedrohungen,
[00:00:47.680 --> 00:00:49.040]   die es bei der WHO gibt.
[00:00:49.040 --> 00:00:50.720]   Klingelt da irgendwas bei Ihnen?
[00:00:50.720 --> 00:00:53.920]   Mir fällt sofort ein, dass die WHO Ende Januar 2020
[00:00:53.920 --> 00:00:58.200]   das damals noch neuartige Corona-Virus auch auf diese Stufe gerubt hat.
[00:00:58.200 --> 00:01:00.520]   Und wer alle wissen, was danach passiert ist.
[00:01:00.520 --> 00:01:04.160]   Welche Parallelen es gibt und wie viel Sorgen uns die Affenpocken jetzt machen müssen,
[00:01:04.160 --> 00:01:06.360]   das hoffe ich jetzt klären zu können mit Jakob Simank,
[00:01:06.360 --> 00:01:08.920]   dem Leiter unseres Gesundheitsressorps, Tare Doctor.
[00:01:08.920 --> 00:01:09.720]   Moin.
