whisper_model_load: loading model from '/Users/owehrens/Source/Github/whisper.cpp//models/ggml-tiny.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 384
whisper_model_load: n_audio_head  = 6
whisper_model_load: n_audio_layer = 4
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 384
whisper_model_load: n_text_head   = 6
whisper_model_load: n_text_layer  = 4
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 1
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  =  390.00 MB
whisper_model_load: ggml ctx size =   73.58 MB
whisper_model_load: memory size   =   11.41 MB
whisper_model_load: model size    =   73.54 MB

system_info: n_threads = 5 / 8 | AVX = 0 | AVX2 = 0 | AVX512 = 0 | NEON = 1 | F16C = 0 | FP16_VA = 1 | WASM_SIMD = 0 | BLAS = 1 | 

main: processing 'audio.wav-5-tiny' (9605956 samples, 600.4 sec), 5 threads, 1 processors, lang = german, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:03.000]   * Musik *
[00:00:03.000 --> 00:00:08.000]   Herzlich willkommen bei Was jetzt dem Nachrichten Podcast von Zeit Online.
[00:00:08.000 --> 00:00:11.000]   Sie hören das Update am Montag 25. Juli.
[00:00:11.000 --> 00:00:16.000]   Ich rede gleich darüber, warum die Affenpocken 2 inzwischen als internationalen Notlager betrachtet werden,
[00:00:16.000 --> 00:00:20.000]   ist aber sehr wahrscheinlich keine zweite Pandemie geben wird.
[00:00:20.000 --> 00:00:26.000]   Und dann schaue ich in die ukrainische Stadt Odaessa, wo Russland nur einen Tag nach dem Getreide abkommen den Hafen bombardiert hat.
[00:00:26.000 --> 00:00:31.000]   Mein Name ist Moses Fendel und der Redaktionsschluss für diesen Podcast ist 16 Uhr.
[00:00:31.000 --> 00:00:38.000]   In mehr als 75 Ländern haben sich mittlerweile Menschen mit den Affenpocken angesteckt.
[00:00:38.000 --> 00:00:44.000]   Am Wochenende hat die Welt gesundert, es ist auch in der Zundersthemer zu einer Notlage von internationalem Ausmaß hochgestoift.
[00:00:44.000 --> 00:00:48.000]   Das ist die höchste Wahnsstufe für gesundheitliche Bedrohungen, die es bei der WHO gibt.
[00:00:48.000 --> 00:00:55.000]   Klingel da irgendwas bei Ihnen. Mir fällt sofort ein, dass die WHO in der Januar 2020 das damals noch neuartige Corona-Vertrag.
[00:00:55.000 --> 00:00:58.000]   Wir haben auch die Corona-Vertrag auf diese Stufe gerufen hat.
[00:00:58.000 --> 00:01:00.000]   Und wir alle wissen was danach passiert ist.
[00:01:00.000 --> 00:01:01.000]   Welche Parallelen es gibt?
[00:01:01.000 --> 00:01:04.000]   Wie für Sorgen uns die Affenpocken jetzt machen müssen?
[00:01:04.000 --> 00:01:08.000]   Das hoffe ich jetzt klären zu können mit Jakob Simang, dem Leiter unseres Gesundheitsresourst.
[00:01:08.000 --> 00:01:09.000]   Tachere Doktor.
[00:01:09.000 --> 00:01:12.000]   Was bedeutet die Entscheidung der WHO vom Wochenende?
[00:01:12.000 --> 00:01:16.000]   Sie ist eine symbolische Entscheidung würde ich sagen,
[00:01:16.000 --> 00:01:20.000]   denn mit dem Ausrufen dieses Gesundheitsnotstandes geht nichts rechtlich binden,
[00:01:20.000 --> 00:01:22.000]   das ein her.
[00:01:22.000 --> 00:01:26.000]   Die WHO hat aber eine Liste an Empfehlungen veröffentlicht für die Länder,
[00:01:26.000 --> 00:01:30.000]   die reichen von Dingen wie Testkapazitäten aufbauen.
[00:01:30.000 --> 00:01:34.000]   Gesundheitsarbeiter darüber aufklären, wie sich die Affenpocken bemerkt
[00:01:34.000 --> 00:01:38.000]   machen, ein Diskriminierungsfreien Zugang zu ermöglichen,
[00:01:38.000 --> 00:01:42.000]   bis hin zu Dingen wie Forschung an Kurbeln.
[00:01:42.000 --> 00:01:45.000]   Und die Hoffnung ist, dass das auch geschieht.
[00:01:45.000 --> 00:01:47.000]   Es ist nicht.
[00:01:47.000 --> 00:01:50.000]   Die Vergang hat auch gezeigt, dass es nicht immer geschieht,
[00:01:50.000 --> 00:01:53.000]   dass der Berkohrone angesprochen wurde,
[00:01:53.000 --> 00:01:55.000]   der wurde Ende Januar 20/20.
[00:01:55.000 --> 00:01:58.000]   Der Gesundheitswunder ist langer, in vielen Ländern nicht viel passiert.
[00:01:58.000 --> 00:02:01.000]   Aber dann ist es dann als uns das Ding richtig um die Ohrenflog,
[00:02:01.000 --> 00:02:03.000]   mehr hat es 20/20.
[00:02:03.000 --> 00:02:06.000]   Auch eine Schung sitzt, den wir vielleicht besser zu machen.
[00:02:06.000 --> 00:02:09.000]   Als beim letzten Mal, was für dich anderes als Covid-19.
[00:02:09.000 --> 00:02:14.000]   Die Situation ist nicht wirklich vergleichbar mit damals in Winter 2019/20.
[00:02:14.000 --> 00:02:17.000]   Prozimmer hat dich am Samstag als diese Nachricht reinkramm,
[00:02:17.000 --> 00:02:19.000]   schon so ein kleines Dejavühü.
[00:02:19.000 --> 00:02:22.000]   Wie viel Sorgen müssen wir uns machen, dass da eine zweite Pandemie,
[00:02:22.000 --> 00:02:23.000]   wo wir auf uns zukommt.
[00:02:23.000 --> 00:02:25.000]   Dass da was wie Covid auf uns zukommt.
[00:02:25.000 --> 00:02:27.000]   Das müssen wir nicht fürchten.
[00:02:27.000 --> 00:02:29.000]   Das kann man glaube ich sehr klar sagen,
[00:02:29.000 --> 00:02:34.000]   die Übertragung ist nicht so häufig passiert.
[00:02:34.000 --> 00:02:37.000]   Aber bei sehr engem Kontakt gegenwärtig vor allem,
[00:02:37.000 --> 00:02:39.000]   bei Männern und Sex.
[00:02:39.000 --> 00:02:42.000]   Bei einem Sex oder bei sehr enger Körperlicher Berührung,
[00:02:42.000 --> 00:02:45.000]   der Haut sozusagen stattfindet.
[00:02:45.000 --> 00:02:48.000]   Dass man erst mal, denke ich, endwahrenden kann,
[00:02:48.000 --> 00:02:49.000]   für die Breite Bevölkerung.
[00:02:49.000 --> 00:02:52.000]   Heißt nicht, dass man die Abenbock nicht bekommen kann.
[00:02:52.000 --> 00:02:54.000]   Aber es ist ganz anders als mit dieser Erosole
[00:02:54.000 --> 00:02:56.000]   Übertragung über die Luft bei Corona.
[00:02:56.000 --> 00:03:00.000]   Nichtsdestotrotz ist es natürlich nur nicht so schöne Situation.
[00:03:00.000 --> 00:03:03.000]   Wir haben neufs Virus, ein recht neues Virus,
[00:03:03.000 --> 00:03:05.000]   was ich gerade in vielen Ländern einnestet,
[00:03:05.000 --> 00:03:09.000]   in bestimmten Populationen, bei Männern, die Sex und Männern haben.
[00:03:09.000 --> 00:03:12.000]   Und von dort auch, wenn wir es nicht eingedämmt kriegen,
[00:03:12.000 --> 00:03:16.000]   natürlich immer wieder, also erst mal in diesen Communitys leid anrichtet.
[00:03:16.000 --> 00:03:19.000]   Und Probleme anrichten dann auch immer wieder heraus,
[00:03:19.000 --> 00:03:23.000]   sie kann, zum Beispiel, zum Menschen, die wohl eine Rabler sind,
[00:03:23.000 --> 00:03:25.000]   weil sie nicht die Immoterapie machen.
[00:03:25.000 --> 00:03:27.000]   Oder auch, wie wir es schon gesehen haben,
[00:03:27.000 --> 00:03:29.000]   auf Kinder übertragen werden kann und so weiter.
[00:03:29.000 --> 00:03:31.000]   So dass das schon gesundheitsproblem ist.
[00:03:31.000 --> 00:03:33.000]   Ich denke, wir sind jetzt eigentlich darüber,
[00:03:33.000 --> 00:03:36.000]   dass wir weniger gesundheitsprobleme besser eigentlich.
[00:03:36.000 --> 00:03:40.000]   Und deswegen ist das schon Schritt den viel Experten auch für richtig halten.
[00:03:40.000 --> 00:03:45.000]   Und vielleicht, wenn ich darf noch ein Vergleich, der vielleicht auch hilft,
[00:03:45.000 --> 00:03:48.000]   in der Geschichte dieser Internationalen Gesundheitsnotstände,
[00:03:48.000 --> 00:03:52.000]   ist das jetzt der 6. Fall und viele der Genutsche,
[00:03:52.000 --> 00:03:55.000]   die ausgucken wurden, hatten für unser tägliches Leben,
[00:03:55.000 --> 00:03:57.000]   nicht allzu viele Lewands.
[00:03:57.000 --> 00:04:00.000]   Da wurde in Ebola ausbruch im Kongot 2018 ausgerufen.
[00:04:00.000 --> 00:04:03.000]   Da wurde Polio als Gesundheitsunstand ausgerufen.
[00:04:03.000 --> 00:04:06.000]   Das ist auch gesundheitlich ein Problem, weltweit.
[00:04:06.000 --> 00:04:08.000]   Menschen müssen sich dagegen impfen lassen.
[00:04:08.000 --> 00:04:10.000]   Wir müssen Impfkampagern auf die Reihe kriegen.
[00:04:10.000 --> 00:04:12.000]   Aber es betrifft uns jetzt meistens nicht so sehr.
[00:04:12.000 --> 00:04:14.000]   Ich glaube, dass es dann auch manchmal hilft,
[00:04:14.000 --> 00:04:17.000]   diesen Vergleich zu ziehen und nicht immer den Corona-Vergleich.
[00:04:17.000 --> 00:04:18.000]   Danke dir, Gauk.
[00:04:18.000 --> 00:04:19.000]   Sehr gern.
[00:04:19.000 --> 00:04:21.000]   Die Gaukoper arbeitet gerade auch noch an einem ausführlichen Text,
[00:04:21.000 --> 00:04:23.000]   in dem wir noch mal alles zusammenfasst,
[00:04:23.000 --> 00:04:25.000]   was wir bisher über die Affenbocken wissen.
[00:04:25.000 --> 00:04:28.000]   Der Text erscheint im Laufe des Abends auf Zeit online.
[00:04:28.000 --> 00:04:31.000]   Erst am Freitag haben die Ukraine und Russland
[00:04:31.000 --> 00:04:34.000]   in Istanbul ein Abkommen unterzeichnet.
[00:04:34.000 --> 00:04:37.000]   Es soll der Ukraine ermöglichen Millionen Tonnen von Getreide
[00:04:37.000 --> 00:04:39.000]   über das Schwarze Meer zu exportieren.
[00:04:39.000 --> 00:04:42.000]   Ein Gefeldelt haben den Deal Türkei und die Verändernazionen.
[00:04:42.000 --> 00:04:45.000]   Strennen genommen sie des Zweifel an der Getrennte abkommen,
[00:04:45.000 --> 00:04:49.000]   weil die Ukraine sich gewagert hat einen Vertrag mit Russland zu unterzeichnen.
[00:04:49.000 --> 00:04:50.000]   Warum wohl?
[00:04:50.000 --> 00:04:53.000]   Nur ein Tag später hat Russland den Hafen von Odessa
[00:04:53.000 --> 00:04:54.000]   mit Raketen angegriffen.
[00:04:54.000 --> 00:04:56.000]   Das ist der größte Hafen der Ukraine
[00:04:56.000 --> 00:04:59.000]   und er spielt eine zentrale Rolle für den geplanten Getreidexport.
[00:04:59.000 --> 00:05:02.000]   Die rostische Regierung hat den Andriff zu erst bestritten.
[00:05:02.000 --> 00:05:04.000]   Gestern dann aber doch zu gegeben.
[00:05:04.000 --> 00:05:07.000]   Sie behauptet, dass seine militärische Infrastruktur
[00:05:07.000 --> 00:05:09.000]   zerstört worden unter anderem einen ukrainisches Kriegsschiff
[00:05:09.000 --> 00:05:13.000]   und US-amerikanische Waffen, die im Hafen gelagert worden sein sollen.
[00:05:13.000 --> 00:05:15.000]   Die Ukraine dagegen sagt, dass auch Hafenanlagen
[00:05:15.000 --> 00:05:18.000]   und ein Kunstmuseum beschädigt worden sein sollen.
[00:05:18.000 --> 00:05:21.000]   Mein Zeit Online-Kollege Christian Foren recherchiert gerade in Odessa.
[00:05:21.000 --> 00:05:24.000]   Ich wollte von ihm wissen, wie er die Stimmung in der Stadt im Moment erlebt.
[00:05:24.000 --> 00:05:26.000]   Wenn man gerade durch Udesser läuft,
[00:05:26.000 --> 00:05:30.000]   sieht es eigentlich nicht so aus, als würde sich jemand wahnsinnig beeindrucken
[00:05:30.000 --> 00:05:33.000]   lassen von den jüngsten Angriffen vor nicht mal.
[00:05:33.000 --> 00:05:36.000]   An der Teil Tagen, die Leute waren gestern
[00:05:36.000 --> 00:05:38.000]   auch auf den Straßen haben getrunken,
[00:05:38.000 --> 00:05:41.000]   haben gegessen, haben zum Teil getanzt.
[00:05:41.000 --> 00:05:44.000]   Und es wird nicht so ein Zettemann jetzt hier,
[00:05:44.000 --> 00:05:47.000]   besonders viel Angst vor weiteren Angriffen.
[00:05:47.000 --> 00:05:50.000]   Den Angriff selbst hat Christian für ein weiteres Posteltheil
[00:05:50.000 --> 00:05:52.000]   von Putin's Psychologischer Kriegführung.
[00:05:52.000 --> 00:05:55.000]   Ein Tag nach dem Abkommen des Schwarz-Märblocada
[00:05:55.000 --> 00:05:58.000]   aufgehoben werden könnte.
[00:05:58.000 --> 00:06:00.000]   Hat er einfach noch mal klar gemacht,
[00:06:00.000 --> 00:06:04.000]   dass der Hafen in Reichweite russischer Raketen ist
[00:06:04.000 --> 00:06:08.000]   und dass jeder der jetzt mit einem Schiff versucht,
[00:06:08.000 --> 00:06:12.000]   schwarzen mehr zu fahren, sich dem Risiko auszutaten.
[00:06:12.000 --> 00:06:15.000]   Ist das Getreide abkommen, damit womöglich schon wieder hinfällig?
[00:06:15.000 --> 00:06:18.000]   Um diese Frage zu beantworten, ist es wohl noch zu früh.
[00:06:18.000 --> 00:06:20.000]   Man kann aber mit Sicherheit sagen,
[00:06:20.000 --> 00:06:22.000]   dass es dadurch nicht leichter geworden ist.
[00:06:22.000 --> 00:06:26.000]   Das liegen immer noch Millionen Tonnen getreide
[00:06:26.000 --> 00:06:28.000]   in den Silos, in den Lagern,
[00:06:28.000 --> 00:06:33.000]   die auf dem Landweg kaum rauszukommen sind.
[00:06:33.000 --> 00:06:35.000]   Gleichzeitig ist es momentärnte,
[00:06:35.000 --> 00:06:38.000]   und die Lager müssten jetzt eigentlich leer sein,
[00:06:38.000 --> 00:06:41.000]   damit sie dann mit den frischen Ernten gefüllt werden könnten.
[00:06:41.000 --> 00:06:44.000]   Insofern eine Vertragte Situation,
[00:06:44.000 --> 00:06:47.000]   aber die Menschen nur deshalb scheinen sich davon
[00:06:47.000 --> 00:06:49.000]   nicht runterziehen zu lassen.
[00:06:49.000 --> 00:06:51.000]   Danke nach Odessa Christian.
[00:06:51.000 --> 00:06:53.000]   Wenn Sie vorhaben,
[00:06:53.000 --> 00:06:55.000]   Am Mittwoch mit der Lufthandel irgendwo hinzufliegen,
[00:06:55.000 --> 00:06:57.000]   müssen sich auf Probleme einstellen,
[00:06:57.000 --> 00:06:59.000]   denn die Gewerkschaftwärde hat das Lufthandel
[00:06:59.000 --> 00:07:02.000]   Bodenpersonal für Übermorgung zu einem ganz täglichen
[00:07:02.000 --> 00:07:03.000]   Wahnstreig aufgerufen.
[00:07:03.000 --> 00:07:05.000]   Wer die sagt, dass viele Flüge ausfallen
[00:07:05.000 --> 00:07:06.000]   oder sich verzögern.
[00:07:06.000 --> 00:07:08.000]   Zum Bodenpersonal gehören,
[00:07:08.000 --> 00:07:10.000]   z.B. Technikerinnen oder Logistiker,
[00:07:10.000 --> 00:07:12.000]   ohne sie geht nichts am Flughafen
[00:07:12.000 --> 00:07:14.000]   oder besser gesagt, ohne sie fliegt nichts.
[00:07:14.000 --> 00:07:17.000]   Ihre Arbeitsumgebung müssen wir uns ungefähr so vorstellen.
[00:07:17.000 --> 00:07:20.000]   * Musik *
[00:07:20.000 --> 00:07:25.000]   Natürlich trägt das Bodenpersonal bei der Arbeit
[00:07:25.000 --> 00:07:26.000]   auf dem Wolfwelt Gehörschrutz,
[00:07:26.000 --> 00:07:29.000]   aber denken Sie sich jetzt mal auf den typischen Kerosiengeruch dazu
[00:07:29.000 --> 00:07:31.000]   und stellen Sie sich vor bei den aktuellen Somatemperatur
[00:07:31.000 --> 00:07:35.000]   in Arbeitsschutzkleidung auf einer großen Bittongfläche rumzulaufen.
[00:07:35.000 --> 00:07:37.000]   Ich glaube, dann haben Sie den ungefährres Bild
[00:07:37.000 --> 00:07:39.000]   von der Arbeitsbelastung dieser Menschen.
[00:07:39.000 --> 00:07:41.000]   Es geht um ungefähr 20.000 Beschäftigte.
[00:07:41.000 --> 00:07:43.000]   Ein erstes Angebot der Lufthandel hat,
[00:07:43.000 --> 00:07:44.000]   wer die abgelehnt,
[00:07:44.000 --> 00:07:47.000]   aber Anfang August soll weiter fandet werden.
[00:07:47.000 --> 00:07:50.000]   Wer die fordert unter anderem fast 10% mehr Lohn.
[00:07:50.000 --> 00:07:52.000]   Das klingt ungewöhnlich viel,
[00:07:52.000 --> 00:07:55.000]   wer die Held- die forderung aber für gerechtfertigt.
[00:07:55.000 --> 00:07:58.000]   Wiggen der Momentan Überlastung, der Hohnenflation
[00:07:58.000 --> 00:08:00.000]   und die Beschäftigten für drei Jahre
[00:08:00.000 --> 00:08:02.000]   auf einen Teil ihres Lohns verzichtet hätten.
[00:08:02.000 --> 00:08:04.000]   Dieser Streik fällt jetzt in einer Zeit,
[00:08:04.000 --> 00:08:07.000]   in der die Lager in den deutschen Flughafen sowieso schon angespannt ist.
[00:08:07.000 --> 00:08:10.000]   Es hat in den letzten Wochen immer wieder Chaos gegeben,
[00:08:10.000 --> 00:08:12.000]   weil in den Urlaub fliegen.
[00:08:12.000 --> 00:08:15.000]   Für die Probleme der Luftfahrtbomische ist der Personalmangel.
[00:08:15.000 --> 00:08:20.000]   Deshalb sind die gewerkschaften in einer starken Verhandungsposition gegenüber den Arbeitgebern.
[00:08:20.000 --> 00:08:22.000]   In diesem Fall der Lufthandel.
[00:08:22.000 --> 00:08:25.000]   Was noch?
[00:08:25.000 --> 00:08:27.000]   Gut, anderthalb Jahre ist es jetzt her,
[00:08:27.000 --> 00:08:30.000]   dass die agentinische Fußballregende Dägeometer Adonner gestorben ist.
[00:08:30.000 --> 00:08:34.000]   In seiner Heimat Argentinien und auch in seiner zwischenzeitlichen Wahlheimat
[00:08:34.000 --> 00:08:38.000]   Neapelträgt die Maradona-Verärung bis heute gerade zu religiöse Züge.
[00:08:38.000 --> 00:08:41.000]   Eine seiner Spitznahme ist zum Beispiel Dios, Spanisch für Gott.
[00:08:41.000 --> 00:08:45.000]   Geschrieben mit der Zeit zehn in der Mitte, also D1 0s.
[00:08:45.000 --> 00:08:47.000]   Denn die zehn war Maradona's rücken Nummer.
